id,image,meta_prompt,category
1,BAKERY/01ad615b7925612e31a8f0267b2c15f9.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: overhead fine-dining plate on deep red table, several elegant hands entering with forks, dramatic hard spotlight and dark falloff; circular red plate frame, centered white dish, luxury dessert ritual, minimal copy space. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
2,BAKERY/01d891e70d32ded254304ecd5e3585f2.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: single sculptural strawberry-like dessert on solid crimson poster, soft studio shadow and glossy texture; centered hero, tiny brand mark zone top, playful script headline zone lower third, monochrome red campaign system. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
3,BAKERY/0290be636ec6e5ebe0b486a8a29c9675.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: cookie intersecting a rounded red pill shape on warm cream background, flat graphic studio lighting; oversized negative space, simple weekend-message typography zone, minimal geometric snack poster. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
4,BAKERY/02db18d0a5bb7e5624f34f3596f968c6.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: cocoa or sugar falling from a sieve onto a layered cake on spoon, pale textured background, crisp food-detail macro; vertical motion trail, hero at bottom third, airy editorial dessert composition. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
5,BAKERY/031f74ad1a6b3c06e0e1df5bc5fe7df8.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: bright blue field with a bitten pink donut replacing a letterform, clean front light; bold typographic wordplay, product integrated into oversized white text, simple social graphic. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
6,BAKERY/045a9c0f240bd77f5e41c45c2636b27f.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: croissants arranged on a wooden peel against white space, high-key studio light and scattered crumbs; diagonal product placement, elegant script header, small editorial copy blocks. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
7,BAKERY/08464f7f2b2fcb36535a3c48e2a36d36.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: strawberry cake slice collage on pink paper texture, direct soft light; scrapbook cutout treatment, large retro script headline, circular sticker badge, nostalgic bakery poster. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
8,BAKERY/094d57cafa8e83080cf4b727a509957e.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: croissant cross-section macro on beige poster, warm side light; huge product detail dominates right side, secondary whole pastry below, small premium copy blocks. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
9,BAKERY/0a899e42adf78e1ca55e1ceb91004ac8.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: croissant with cream and cherry displayed on classical stone pedestal, red velvet curtain background, theatrical spotlight; luxury dessert-as-sculpture with centered vertical staging. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
10,BAKERY/0bb59a5995a794ffbdc49100581b56b6.jpg,"Create a premium bakery advertising image using [INPUT_PRODUCT] as the replaceable hero product. Photograph DNA: hand holding a white paper sleeve with cookie peeking out, neutral beige studio background, shallow depth; minimal human touch, product partly hidden, clean premium take-away mood. Design DNA: preserve the source layout logic, color palette, lighting direction, camera angle, negative space, prop relationships, and typography zones; replace the original food/product with [INPUT_PRODUCT] while matching perspective, scale, shadows, texture, and appetite appeal. Use editable placeholder copy only, avoid real logos unless supplied, and keep the final result polished, photoreal, high-resolution, and campaign-ready.",Bakery
